ID,Abbreviation,Arabidopsis.name
Soltu.DM.10G000090,LHY,LHY 
Soltu.DM.03G029900,TOC1b,TOC1
Soltu.DM.12G007510,GIb,GI
Soltu.DM.02G030280,CO2,CO
Soltu.DM.05G024040,SP5G-like,FT(in-like)
Soltu.DM.05G024030,SPG-like,SPG5
Soltu.DM.03G021500,PRR5,PRR5
Soltu.DM.05G005140,CDF1,CDF
